3	-0.842678	0.538419
1	-0.866145	0.499793
20	-0.905148	0.425097
14	-0.907587	0.419865
18	-0.92264	0.385663
16	-0.987973	0.154626
26	-0.999371	0.035462
2	-0.997937	-0.0641989
23	-0.788258	-0.615344
7	-0.782865	-0.622191
10	-0.667145	-0.744928
15	-0.650647	-0.759381
22	-0.522294	-0.852766
0	-0.390681	-0.920526
25	-0.111596	-0.993754
24	-0.103537	-0.994626
13	-0.101433	-0.994842
17	0.338535	-0.940954
27	0.849981	-0.526813
28	0.998414	0.056296
29	0.789446	0.61382
9	0.339331	0.940667
8	0.299317	0.954154
21	0.140571	0.990071
11	0.109863	0.993947
4	-0.137054	0.990564
5	-0.244648	0.969612
12	-0.627294	0.778782
19	-0.77704	0.629451
6	-0.778354	0.627826
3	-0.842678	0.538419
